date,month,hour,daytime,seasons,holiday,functioning_day,temperature,temperature_type,humidity,wind_speed,visibility,solar_radiation,rainfall,snowfall,rented_bike_count
2017-12-04,12,17,Afternoon,Winter,No,Yes,-1.3,Frost,26,5.3,2000,0.18,0.0,0.0,515
2017-12-04,12,18,Evening,Winter,No,Yes,-2.1,Frost,29,3.9,2000,0.0,0.0,0.0,807
2017-12-04,12,19,Evening,Winter,No,Yes,-2.9,Frost,32,3.2,2000,0.0,0.0,0.0,568
2017-12-04,12,20,Evening,Winter,No,Yes,-3.6,Frost,38,3.0,2000,0.0,0.0,0.0,398
2017-12-04,12,21,Evening,Winter,No,Yes,-4.6,Frost,43,4.5,2000,0.0,0.0,0.0,397
2017-12-04,12,22,Night,Winter,No,Yes,-5.3,Frost,45,2.5,2000,0.0,0.0,0.0,353
2017-12-04,12,23,Night,Winter,No,Yes,-5.8,Frost,44,2.4,2000,0.0,0.0,0.0,248
2017-12-05,12,0,Night,Winter,No,Yes,-6.1,Frost,42,2.6,2000,0.0,0.0,0.0,216
2017-12-05,12,1,Night,Winter,No,Yes,-6.5,Frost,41,2.8,2000,0.0,0.0,0.0,198
2017-12-05,12,2,Night,Winter,No,Yes,-6.8,Frost,41,2.5,2000,0.0,0.0,0.0,124
2017-12-05,12,3,Night,Winter,No,Yes,-6.9,Frost,39,2.0,2000,0.0,0.0,0.0,62
2017-12-05,12,4,Morning,Winter,No,Yes,-7.2,Frost,34,3.0,2000,0.0,0.0,0.0,42
2017-12-05,12,5,Morning,Winter,No,Yes,-7.4,Frost,33,2.6,2000,0.0,0.0,0.0,82
2017-12-05,12,6,Morning,Winter,No,Yes,-7.4,Frost,34,3.2,2000,0.0,0.0,0.0,172
2017-12-05,12,7,Morning,Winter,No,Yes,-7.5,Frost,33,2.2,2000,0.0,0.0,0.0,381
2017-12-05,12,8,Morning,Winter,No,Yes,-8.1,Frost,36,1.6,2000,0.01,0.0,0.0,812
2017-12-05,12,9,Morning,Winter,No,Yes,-7.6,Frost,31,1.3,1974,0.21,0.0,0.0,462
2017-12-05,12,10,Morning,Winter,No,Yes,-5.5,Frost,26,2.8,1967,0.64,0.0,0.0,269
2017-12-05,12,11,Noon,Winter,No,Yes,-3.9,Frost,25,0.0,1959,0.0,0.0,0.0,334
2017-12-05,12,12,Noon,Winter,No,Yes,-2.3,Frost,25,0.0,1962,0.0,0.0,0.0,321
2017-12-05,12,13,Noon,Winter,No,Yes,-1.6,Frost,27,0.0,1955,0.0,0.0,0.0,325
2017-12-05,12,14,Noon,Winter,No,Yes,-1.1,Frost,28,0.0,2000,0.0,0.0,0.0,334
2017-12-05,12,15,Afternoon,Winter,No,Yes,-0.7,Frost,28,0.0,2000,0.0,0.0,0.0,353
2017-12-05,12,16,Afternoon,Winter,No,Yes,-0.5,Frost,30,0.0,2000,0.0,0.0,0.0,435
2017-12-05,12,17,Afternoon,Winter,No,Yes,-1.6,Frost,35,0.0,2000,0.0,0.0,0.0,529
2017-12-05,12,18,Evening,Winter,No,Yes,-2.6,Frost,40,0.0,2000,0.0,0.0,0.0,789
2017-12-05,12,19,Evening,Winter,No,Yes,-3.2,Frost,45,0.0,2000,0.0,0.0,0.0,597
2017-12-05,12,20,Evening,Winter,No,Yes,-3.5,Frost,46,0.0,2000,0.0,0.0,0.0,418
2017-12-05,12,21,Evening,Winter,No,Yes,-3.7,Frost,47,0.0,2000,0.0,0.0,0.0,415
2017-12-05,12,22,Night,Winter,No,Yes,-2.8,Frost,49,0.0,2000,0.0,0.0,0.0,393
2017-12-05,12,23,Night,Winter,No,Yes,-2.5,Frost,59,0.0,1210,0.0,0.0,0.0,244
2017-12-06,12,0,Night,Winter,No,Yes,-2.8,Frost,77,0.0,331,0.0,0.1,0.1,145
2017-12-06,12,1,Night,Winter,No,Yes,-3.0,Frost,79,0.0,293,0.0,0.0,0.3,144
2017-12-06,12,2,Night,Winter,No,Yes,-3.0,Frost,79,0.0,1862,0.0,0.0,0.4,117
2017-12-06,12,3,Night,Winter,No,Yes,-3.2,Frost,78,0.0,1808,0.0,0.2,0.4,78
2017-12-06,12,4,Morning,Winter,No,Yes,-3.4,Frost,75,0.0,1982,0.0,0.0,0.4,58
2017-12-06,12,5,Morning,Winter,No,Yes,-3.6,Frost,76,0.0,1934,0.0,0.0,0.4,87
2017-12-06,12,6,Morning,Winter,No,Yes,-3.7,Frost,76,0.0,1864,0.0,0.0,0.4,142
2017-12-06,12,7,Morning,Winter,No,Yes,-4.2,Frost,77,0.0,1741,0.0,0.0,0.3,379
2017-12-06,12,8,Morning,Winter,No,Yes,-4.2,Frost,78,0.0,1518,0.01,0.0,0.2,802
2017-12-06,12,9,Morning,Winter,No,Yes,-3.3,Frost,70,0.0,1324,0.25,0.0,0.2,440
2017-12-06,12,10,Morning,Winter,No,Yes,-0.9,Frost,64,0.0,1224,0.63,0.0,0.2,307
2017-12-06,12,11,Noon,Winter,No,Yes,1.6,Cold,57,1.2,1261,0.93,0.0,0.0,381
2017-12-06,12,12,Noon,Winter,No,Yes,2.4,Cold,52,0.9,1224,1.08,0.0,0.0,405
2017-12-06,12,13,Noon,Winter,No,Yes,4.2,Cold,47,1.1,1469,1.1,0.0,0.0,442
2017-12-06,12,14,Noon,Winter,No,Yes,5.5,Cold,34,1.0,1966,0.96,0.0,0.0,416
2017-12-06,12,15,Afternoon,Winter,No,Yes,5.5,Cold,31,3.1,1968,0.72,0.0,0.0,412
2017-12-06,12,16,Afternoon,Winter,No,Yes,5.3,Cold,37,2.9,2000,0.36,0.0,0.0,496
2017-12-06,12,17,Afternoon,Winter,No,Yes,4.1,Cold,60,2.5,1565,0.1,0.0,0.0,239
2017-12-06,12,18,Evening,Winter,No,Yes,1.7,Cold,90,1.0,66,0.0,0.3,0.3,204
2017-12-06,12,19,Evening,Winter,No,Yes,1.2,Cold,92,0.7,180,0.0,0.0,1.0,205
2017-12-06,12,20,Evening,Winter,No,Yes,1.2,Cold,94,0.6,228,0.0,0.0,1.0,190
2017-12-06,12,21,Evening,Winter,No,Yes,1.1,Cold,92,0.5,235,0.0,0.7,1.0,165
2017-12-06,12,22,Night,Winter,No,Yes,1.3,Cold,92,0.6,233,0.0,0.0,1.0,222
2017-12-06,12,23,Night,Winter,No,Yes,1.3,Cold,92,0.6,209,0.0,0.0,1.0,193
2017-12-07,12,0,Night,Winter,No,Yes,1.4,Cold,92,0.5,240,0.0,0.0,0.9,198
2017-12-07,12,1,Night,Winter,No,Yes,1.5,Cold,92,0.4,227,0.0,0.0,0.9,218
2017-12-07,12,2,Night,Winter,No,Yes,1.4,Cold,92,0.7,168,0.0,0.0,0.9,149
2017-12-07,12,3,Night,Winter,No,Yes,1.9,Cold,91,1.4,218,0.0,0.0,0.9,102
2017-12-07,12,4,Morning,Winter,No,Yes,1.6,Cold,92,0.7,119,0.0,0.0,0.9,62
2017-12-07,12,5,Morning,Winter,No,Yes,1.5,Cold,92,1.1,175,0.0,0.0,0.9,83
2017-12-07,12,6,Morning,Winter,No,Yes,1.0,Cold,93,0.5,148,0.0,0.0,0.9,137
2017-12-07,12,7,Morning,Winter,No,Yes,0.3,Cold,93,0.5,173,0.0,0.0,0.9,367
2017-12-07,12,8,Morning,Winter,No,Yes,-0.2,Frost,96,0.8,173,0.01,0.0,0.8,754
2017-12-07,12,9,Morning,Winter,No,Yes,0.1,Cold,91,0.8,265,0.14,0.0,0.8,415
2017-12-07,12,10,Morning,Winter,No,Yes,1.1,Cold,83,0.7,311,0.41,0.0,0.7,321
2017-12-07,12,11,Noon,Winter,No,Yes,2.3,Cold,69,1.7,628,0.63,0.0,0.6,333
2017-12-07,12,12,Noon,Winter,No,Yes,3.7,Cold,65,2.4,833,0.98,0.0,0.3,431
2017-12-07,12,13,Noon,Winter,No,Yes,4.1,Cold,37,3.1,1767,1.14,0.0,0.0,394
2017-12-07,12,14,Noon,Winter,No,Yes,4.4,Cold,36,2.7,1975,1.04,0.0,0.0,390
2017-12-07,12,15,Afternoon,Winter,No,Yes,4.0,Cold,35,3.1,1962,0.84,0.0,0.0,430
2017-12-07,12,16,Afternoon,Winter,No,Yes,3.2,Cold,38,2.9,1817,0.51,0.0,0.0,471
2017-12-07,12,17,Afternoon,Winter,No,Yes,2.1,Cold,50,2.0,1434,0.15,0.0,0.0,552
2017-12-07,12,18,Evening,Winter,No,Yes,0.7,Cold,46,2.7,1558,0.0,0.0,0.0,795
2017-12-07,12,19,Evening,Winter,No,Yes,-0.4,Frost,47,2.5,1269,0.0,0.0,0.0,507
2017-12-07,12,20,Evening,Winter,No,Yes,-1.4,Frost,47,2.5,1620,0.0,0.0,0.0,390
2017-12-07,12,21,Evening,Winter,No,Yes,-2.2,Frost,46,2.2,1975,0.0,0.0,0.0,402
2017-12-07,12,22,Night,Winter,No,Yes,-2.7,Frost,48,2.6,1844,0.0,0.0,0.0,389
2017-12-07,12,23,Night,Winter,No,Yes,-3.2,Frost,50,2.1,1887,0.0,0.0,0.0,259
2017-12-08,12,0,Night,Winter,No,Yes,-3.5,Frost,49,2.6,1893,0.0,0.0,0.0,233
2017-12-08,12,1,Night,Winter,No,Yes,-3.7,Frost,50,2.5,1902,0.0,0.0,0.0,230
2017-12-08,12,2,Night,Winter,No,Yes,-4.3,Frost,53,1.0,1918,0.0,0.0,0.0,131
2017-12-08,12,3,Night,Winter,No,Yes,-4.8,Frost,52,1.6,1978,0.0,0.0,0.0,99
2017-12-08,12,4,Morning,Winter,No,Yes,-5.3,Frost,53,2.4,1936,0.0,0.0,0.0,71
2017-12-08,12,5,Morning,Winter,No,Yes,-5.8,Frost,56,2.0,1941,0.0,0.0,0.0,84
2017-12-08,12,6,Morning,Winter,No,Yes,-6.0,Frost,56,3.5,1853,0.0,0.0,0.0,158
2017-12-08,12,7,Morning,Winter,No,Yes,-6.5,Frost,57,0.8,1776,0.0,0.0,0.0,387
2017-12-08,12,8,Morning,Winter,No,Yes,-7.0,Frost,59,0.8,1559,0.01,0.0,0.0,780
2017-12-08,12,9,Morning,Winter,No,Yes,-6.7,Frost,50,0.9,1492,0.23,0.0,0.0,395
2017-12-08,12,10,Morning,Winter,No,Yes,-5.3,Frost,44,2.8,1516,0.63,0.0,0.0,261
2017-12-08,12,11,Noon,Winter,No,Yes,-3.7,Frost,39,1.4,1595,0.93,0.0,0.0,310
2017-12-08,12,12,Noon,Winter,No,Yes,-2.0,Frost,30,1.4,1728,1.14,0.0,0.0,355
2017-12-08,12,13,Noon,Winter,No,Yes,-1.7,Frost,28,1.8,1963,1.22,0.0,0.0,354
2017-12-08,12,14,Noon,Winter,No,Yes,-1.3,Frost,27,3.1,1906,1.12,0.0,0.0,350
2017-12-08,12,15,Afternoon,Winter,No,Yes,-0.8,Frost,26,3.3,1977,0.87,0.0,0.0,362
2017-12-08,12,16,Afternoon,Winter,No,Yes,-1.1,Frost,24,3.4,2000,0.56,0.0,0.0,401
2017-12-08,12,17,Afternoon,Winter,No,Yes,-2.4,Frost,30,2.7,2000,0.18,0.0,0.0,500
2017-12-08,12,18,Evening,Winter,No,Yes,-3.1,Frost,33,1.2,2000,0.0,0.0,0.0,752
2017-12-08,12,19,Evening,Winter,No,Yes,-3.3,Frost,35,1.1,2000,0.0,0.0,0.0,477
2017-12-08,12,20,Evening,Winter,No,Yes,-3.3,Frost,34,1.5,2000,0.0,0.0,0.0,384
2017-12-08,12,21,Evening,Winter,No,Yes,-3.3,Frost,35,0.5,2000,0.0,0.0,0.0,336
2017-12-08,12,22,Night,Winter,No,Yes,-3.4,Frost,39,1.2,2000,0.0,0.0,0.0,347
2017-12-08,12,23,Night,Winter,No,Yes,-3.5,Frost,43,0.9,2000,0.0,0.0,0.0,275
2017-12-09,12,0,Night,Winter,No,Yes,-3.5,Frost,48,0.9,1967,0.0,0.0,0.0,267
2017-12-09,12,1,Night,Winter,No,Yes,-4.1,Frost,49,0.6,2000,0.0,0.0,0.0,296
2017-12-09,12,2,Night,Winter,No,Yes,-4.7,Frost,50,0.7,1983,0.0,0.0,0.0,237
2017-12-09,12,3,Night,Winter,No,Yes,-4.3,Frost,47,0.6,1992,0.0,0.0,0.0,169
2017-12-09,12,4,Morning,Winter,No,Yes,-4.3,Frost,49,0.7,2000,0.0,0.0,0.0,96
2017-12-09,12,5,Morning,Winter,No,Yes,-4.7,Frost,49,0.8,1999,0.0,0.0,0.0,56
2017-12-09,12,6,Morning,Winter,No,Yes,-5.1,Frost,53,0.9,1975,0.0,0.0,0.0,76
2017-12-09,12,7,Morning,Winter,No,Yes,-5.5,Frost,56,0.8,1950,0.0,0.0,0.0,127
2017-12-09,12,8,Morning,Winter,No,Yes,-5.4,Frost,56,0.7,1940,0.01,0.0,0.0,222
2017-12-09,12,9,Morning,Winter,No,Yes,-4.7,Frost,48,1.0,1784,0.23,0.0,0.0,291
2017-12-09,12,10,Morning,Winter,No,Yes,-2.2,Frost,42,1.3,1646,0.61,0.0,0.0,273
2017-12-09,12,11,Noon,Winter,No,Yes,0.0,Cold,45,1.1,1500,0.89,0.0,0.0,351
2017-12-09,12,12,Noon,Winter,No,Yes,2.4,Cold,40,0.8,1809,1.05,0.0,0.0,427
2017-12-09,12,13,Noon,Winter,No,Yes,3.9,Cold,36,2.0,1702,1.13,0.0,0.0,431
2017-12-09,12,14,Noon,Winter,No,Yes,4.7,Cold,32,2.2,1948,1.06,0.0,0.0,486
2017-12-09,12,15,Afternoon,Winter,No,Yes,5.2,Cold,30,2.0,1963,0.84,0.0,0.0,569
2017-12-09,12,16,Afternoon,Winter,No,Yes,4.4,Cold,33,1.6,1963,0.4,0.0,0.0,546
2017-12-09,12,17,Afternoon,Winter,No,Yes,3.5,Cold,37,1.8,1963,0.1,0.0,0.0,481
2017-12-09,12,18,Evening,Winter,No,Yes,2.5,Cold,41,1.0,1974,0.0,0.0,0.0,384
2017-12-09,12,19,Evening,Winter,No,Yes,1.5,Cold,48,0.4,1878,0.0,0.0,0.0,275
2017-12-09,12,20,Evening,Winter,No,Yes,0.8,Cold,51,1.4,1848,0.0,0.0,0.0,298
2017-12-09,12,21,Evening,Winter,No,Yes,-0.1,Frost,55,0.7,1654,0.0,0.0,0.0,321
2017-12-09,12,22,Night,Winter,No,Yes,-0.5,Frost,55,0.6,1655,0.0,0.0,0.0,289
2017-12-09,12,23,Night,Winter,No,Yes,-0.1,Frost,54,1.3,1570,0.0,0.0,0.0,265
2017-12-10,12,0,Night,Winter,No,Yes,-0.2,Frost,55,1.0,1629,0.0,0.0,0.0,326
2017-12-10,12,1,Night,Winter,No,Yes,-0.2,Frost,54,0.5,1747,0.0,0.0,0.0,280
2017-12-10,12,2,Night,Winter,No,Yes,0.2,Cold,52,0.7,1726,0.0,0.0,0.0,243
2017-12-10,12,3,Night,Winter,No,Yes,0.3,Cold,53,0.5,1748,0.0,0.0,0.0,169
2017-12-10,12,4,Morning,Winter,No,Yes,0.4,Cold,52,1.6,1816,0.0,0.0,0.0,71
2017-12-10,12,5,Morning,Winter,No,Yes,0.3,Cold,74,1.0,178,0.0,0.0,0.7,13
2017-12-10,12,6,Morning,Winter,No,Yes,-0.5,Frost,90,0.9,91,0.0,2.5,2.7,9
2017-12-10,12,7,Morning,Winter,No,Yes,-0.4,Frost,92,1.1,121,0.0,0.0,4.0,20
2017-12-10,12,8,Morning,Winter,No,Yes,-0.2,Frost,90,1.2,378,0.0,0.0,4.1,35
2017-12-10,12,9,Morning,Winter,No,Yes,0.2,Cold,90,1.0,305,0.0,1.6,4.3,31
2017-12-10,12,10,Morning,Winter,No,Yes,0.5,Cold,91,0.4,143,0.0,0.0,4.3,19
2017-12-10,12,11,Noon,Winter,No,Yes,0.9,Cold,92,0.9,137,0.03,0.0,3.9,58
2017-12-10,12,12,Noon,Winter,No,Yes,2.3,Cold,88,0.3,245,0.28,0.0,3.1,119
2017-12-10,12,13,Noon,Winter,No,Yes,3.3,Cold,87,1.1,230,0.54,0.0,2.1,182
2017-12-10,12,14,Noon,Winter,No,Yes,4.2,Cold,85,0.7,325,0.65,0.0,1.4,235
2017-12-10,12,15,Afternoon,Winter,No,Yes,6.7,Cold,63,4.5,715,0.35,0.0,1.0,180
2017-12-10,12,16,Afternoon,Winter,No,Yes,5.4,Cold,71,3.5,622,0.2,0.0,0.5,214
2017-12-10,12,17,Afternoon,Winter,No,Yes,3.6,Cold,65,4.3,1061,0.03,0.0,0.4,226
2017-12-10,12,18,Evening,Winter,No,Yes,2.0,Cold,61,3.0,2000,0.0,0.0,0.0,210
2017-12-10,12,19,Evening,Winter,No,Yes,1.6,Cold,53,4.0,2000,0.0,0.0,0.0,181
2017-12-10,12,20,Evening,Winter,No,Yes,0.6,Cold,57,3.9,1954,0.0,0.0,0.0,165
2017-12-10,12,21,Evening,Winter,No,Yes,0.0,Cold,59,3.0,1862,0.0,0.0,0.0,167
2017-12-10,12,22,Night,Winter,No,Yes,-1.0,Frost,56,4.7,2000,0.0,0.0,0.0,152
2017-12-10,12,23,Night,Winter,No,Yes,-1.4,Frost,43,4.3,2000,0.0,0.0,0.0,148
2017-12-11,12,0,Night,Winter,No,Yes,-2.5,Frost,39,3.4,2000,0.0,0.0,0.0,125
2017-12-11,12,1,Night,Winter,No,Yes,-3.4,Frost,36,3.8,2000,0.0,0.0,0.0,111
2017-12-11,12,2,Night,Winter,No,Yes,-4.2,Frost,35,3.4,2000,0.0,0.0,0.0,67
2017-12-11,12,3,Night,Winter,No,Yes,-4.7,Frost,38,2.4,2000,0.0,0.0,0.0,45
2017-12-11,12,4,Morning,Winter,No,Yes,-5.2,Frost,35,3.2,2000,0.0,0.0,0.0,44
2017-12-11,12,5,Morning,Winter,No,Yes,-5.6,Frost,38,3.2,1974,0.0,0.0,0.0,86
